kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
1413,Hyllestad,2019,1366,61.1889915238747,5.269934967489166,SOGN OG FJORDANE,MØRE OG ROMSDAL
1413,Hyllestad,2019,1366,61.1889915238747,5.269934967489166,SOGN OG FJORDANE,VESTLAND
1416,Høyanger,2019,4091,61.135037665641796,5.887021112207071,SOGN OG FJORDANE,MØRE OG ROMSDAL
1416,Høyanger,2019,4091,61.135037665641796,5.887021112207071,SOGN OG FJORDANE,VESTLAND
1417,Vik,2019,2672,61.021305347308264,6.543536880537666,SOGN OG FJORDANE,MØRE OG ROMSDAL
1417,Vik,2019,2672,61.021305347308264,6.543536880537666,SOGN OG FJORDANE,VESTLAND
1418,Balestrand,2019,1279,61.24634608167207,6.439003340590512,SOGN OG FJORDANE,MØRE OG ROMSDAL
1418,Balestrand,2019,1279,61.24634608167207,6.439003340590512,SOGN OG FJORDANE,VESTLAND
1419,Leikanger,2019,2331,61.23972222663466,6.790654428444562,SOGN OG FJORDANE,MØRE OG ROMSDAL
1419,Leikanger,2019,2331,61.23972222663466,6.790654428444562,SOGN OG FJORDANE,VESTLAND
1420,Sogndal,2019,8191,61.31810727624815,6.926530713387062,SOGN OG FJORDANE,MØRE OG ROMSDAL
1420,Sogndal,2019,8191,61.31810727624815,6.926530713387062,SOGN OG FJORDANE,VESTLAND
1421,Aurland,2019,1764,60.85772415173869,7.239246212796655,SOGN OG FJORDANE,MØRE OG ROMSDAL
1421,Aurland,2019,1764,60.85772415173869,7.239246212796655,SOGN OG FJORDANE,VESTLAND
1422,Lærdal,2019,2151,61.04074036395387,7.743731695280689,SOGN OG FJORDANE,MØRE OG ROMSDAL
1422,Lærdal,2019,2151,61.04074036395387,7.743731695280689,SOGN OG FJORDANE,VESTLAND
1424,Årdal,2019,5245,61.29270363872342,7.815182518921411,SOGN OG FJORDANE,MØRE OG ROMSDAL
1424,Årdal,2019,5245,61.29270363872342,7.815182518921411,SOGN OG FJORDANE,VESTLAND
1426,Luster,2019,5195,61.541034371814625,7.445155150154005,SOGN OG FJORDANE,MØRE OG ROMSDAL
1426,Luster,2019,5195,61.541034371814625,7.445155150154005,SOGN OG FJORDANE,VESTLAND
1428,Askvoll,2019,3038,61.399588959960354,5.191682401998098,SOGN OG FJORDANE,MØRE OG ROMSDAL
1428,Askvoll,2019,3038,61.399588959960354,5.191682401998098,SOGN OG FJORDANE,VESTLAND
1429,Fjaler,2019,2770,61.282827366478934,5.426320679457222,SOGN OG FJORDANE,MØRE OG ROMSDAL
